target	regulator	condition	weight
JUND	FOXP1	CD8 Exhausted	0.7130048378921069
ELL2	FOXP1	CD8 Exhausted	0.6619213311746776
GATA3	FOXP1	CD8 Exhausted	0.6604279047498952
PITPNC1	FOXP1	CD8 Exhausted	0.6252563611442721
RFTN1	FOXP1	CD8 Exhausted	0.5823545668862113
NR4A2	FOXP1	CD8 Exhausted	0.5027079927495922
ZFP36	FOXP1	CD8 Exhausted	0.4459228038183669
TXNIP	FOXP1	CD8 Exhausted	0.440879636557196
PDE4B	FOXP1	CD8 Exhausted	0.435906755273711
CYSTM1	FOXP1	CD8 Exhausted	0.4109545955632119
PTP4A1	FOXP1	CD8 Exhausted	0.2131138442223067
BTG1	FOXP1	CD8 Exhausted	0.1986484091372283
SPOCK2	FOXP1	CD8 Exhausted	0.1568545677680242
NFKBIZ	FOXP1	CD8 Exhausted	0.1506702751054496
ZFP36L2	FOXP1	CD8 Exhausted	0.1483327250720929
S1PR1	FOXP1	CD8 Exhausted	0.1401258861269271
ANXA2	HMGA1	CD8 Exhausted	2.380185224687519
ACTG1	HMGA1	CD8 Exhausted	2.1214068734605487
ACTB	HMGA1	CD8 Exhausted	2.0309858478788985
FAM107B	HMGA1	CD8 Exhausted	1.5617827144762682
YWHAH	HMGA1	CD8 Exhausted	1.2614335068578
MYADM	HMGA1	CD8 Exhausted	1.162574468534797
PELI1	HMGA1	CD8 Exhausted	1.1171656240991603
PFN1	HMGA1	CD8 Exhausted	1.099661575272967
HMGA1	HMGA1	CD8 Exhausted	1.0
FAM177A1	HMGA1	CD8 Exhausted	0.9401411134005654
FOS	HMGA1	CD8 Exhausted	0.8375017711132746
HMGB1	HMGA1	CD8 Exhausted	0.4550388277355159
HMGN2	HMGB1	CD8 Exhausted	5.259874251047606
CDC25B	HMGB1	CD8 Exhausted	2.4017371851372387
ANP32B	HMGB1	CD8 Exhausted	2.3558534962802757
ACTB	HMGB1	CD8 Exhausted	1.9805560326565708
DUSP4	HMGB1	CD8 Exhausted	1.8113104356907137
YWHAH	HMGB1	CD8 Exhausted	1.7235814723214975
ACTG1	HMGB1	CD8 Exhausted	1.4789022986622309
RANBP1	HMGB1	CD8 Exhausted	1.4308219319091964
LMNB1	HMGB1	CD8 Exhausted	1.112844924758985
HMGB1	HMGB1	CD8 Exhausted	1.0
HMGA1	HMGB1	CD8 Exhausted	0.7519512349417367
ZFP36L2	HMGB1	CD8 Exhausted	0.7336051152141727
NDRG1	HMGB1	CD8 Exhausted	0.1360472218313716
HMGN2	HMGB2	CD8 Exhausted	3.867847709122629
HMGB1	HMGB2	CD8 Exhausted	3.4677168357683312
CDC25B	HMGB2	CD8 Exhausted	2.5311427812270626
RANBP1	HMGB2	CD8 Exhausted	2.102869352828189
ANP32B	HMGB2	CD8 Exhausted	1.9516396293366136
PDE4D	HMGB2	CD8 Exhausted	1.698590694994773
ACTB	HMGB2	CD8 Exhausted	1.6740824590113592
SPTAN1	HMGB2	CD8 Exhausted	1.2556411035934012
LMNB1	HMGB2	CD8 Exhausted	0.9049120472416572
ACTG1	HMGB2	CD8 Exhausted	0.8998288561396313
GATA3	HMGB2	CD8 Exhausted	0.8243546343214664
SOD2	HMGB2	CD8 Exhausted	0.6648444181274323
SATB1	HMGB2	CD8 Exhausted	0.5659037125843189
DOK2	HMGB2	CD8 Exhausted	0.5300349550384098
GPR183	IRF7	CD8 Exhausted	2.90368574791874
JUND	IRF7	CD8 Exhausted	2.1892920879508697
LDLRAD4	IRF7	CD8 Exhausted	2.0493980851367355
BHLHE40	IRF7	CD8 Exhausted	1.4971746353768352
CHMP1B	IRF7	CD8 Exhausted	1.4925998199076216
PELI1	IRF7	CD8 Exhausted	1.4764962983005747
TGFB1	IRF7	CD8 Exhausted	1.4592525271458816
RAB11FIP1	IRF7	CD8 Exhausted	1.4084803545336568
PEA15	IRF7	CD8 Exhausted	1.3326206227834985
CD53	IRF7	CD8 Exhausted	1.179390571947036
RFTN1	IRF7	CD8 Exhausted	1.108597686584714
RTN4	IRF7	CD8 Exhausted	1.0825487021176965
FOSL2	IRF7	CD8 Exhausted	1.0704138776782368
ALOX5AP	IRF7	CD8 Exhausted	1.0391982273063067
TNFAIP8	IRF7	CD8 Exhausted	1.0268385637651345
IRF7	IRF7	CD8 Exhausted	1.0
CDKN1A	IRF7	CD8 Exhausted	0.9249763339798124
PDE4DIP	IRF7	CD8 Exhausted	0.8978851568751196
CAPG	IRF7	CD8 Exhausted	0.8542304638385982
GALNT2	IRF7	CD8 Exhausted	0.8404860707780765
LIMS1	IRF7	CD8 Exhausted	0.8208468732318476
JAML	IRF7	CD8 Exhausted	0.7762229348315812
FAM46C	IRF7	CD8 Exhausted	0.7313979897974252
CMIP	IRF7	CD8 Exhausted	0.6637285286899984
KDM6B	IRF7	CD8 Exhausted	0.5746287835612409
PPP1R16B	IRF7	CD8 Exhausted	0.5319816465591626
AKNA	IRF7	CD8 Exhausted	0.527430908475687
