TFs	Genes	Occurrence	occurrence_percentage	Weights	condition
CREM	CSRP1	3	75.0	0.4541842007041031	CD8 Exhausted
CREM	RFTN1	4	100.0	0.4386949568825229	CD8 Exhausted
CREM	APMAP	4	100.0	0.4361200439402152	CD8 Exhausted
CREM	INSIG1	4	100.0	0.4351040280838191	CD8 Exhausted
CREM	SESN3	4	100.0	0.4272207244885835	CD8 Exhausted
CREM	ARID5A	4	100.0	0.4102823357610802	CD8 Exhausted
CREM	RGS1	4	100.0	0.3969708382265237	CD8 Exhausted
CREM	ADGRE5	3	75.0	0.3884750169442772	CD8 Exhausted
CREM	GYG1	4	100.0	0.3877580735112663	CD8 Exhausted
CREM	ATP2B4	4	100.0	0.3729071408333958	CD8 Exhausted
CREM	DNAJC1	4	100.0	0.3684671664554732	CD8 Exhausted
CREM	RGS2	3	75.0	0.3638670530633469	CD8 Exhausted
CREM	USP11	4	100.0	0.3610034545441483	CD8 Exhausted
CREM	KDM6B	3	75.0	0.356695235359421	CD8 Exhausted
CREM	IKZF3	4	100.0	0.3549068309947361	CD8 Exhausted
CREM	TRAF1	3	75.0	0.3391293767671439	CD8 Exhausted
CREM	HSPA5	3	75.0	0.3366119669085745	CD8 Exhausted
CREM	ZEB2	4	100.0	0.3191987427270404	CD8 Exhausted
CREM	LDLRAD4	4	100.0	0.3187197182576622	CD8 Exhausted
CREM	HTATIP2	4	100.0	0.3127224317731955	CD8 Exhausted
CREM	TNFRSF1B	4	100.0	0.310375976061927	CD8 Exhausted
CREM	MAP3K8	3	75.0	0.2937393821296223	CD8 Exhausted
CREM	CYSTM1	4	100.0	0.2925599280053982	CD8 Exhausted
CREM	CHMP1B	4	100.0	0.2877368202937803	CD8 Exhausted
CREM	CMIP	4	100.0	0.273236196539165	CD8 Exhausted
CREM	DDIT4	3	75.0	0.270466270737246	CD8 Exhausted
CREM	ARAP2	3	75.0	0.26321971518626	CD8 Exhausted
CREM	ZC3H12A	4	100.0	0.2626678007781809	CD8 Exhausted
CREM	DUSP1	3	75.0	0.2525475695354833	CD8 Exhausted
CREM	CDKN1A	4	100.0	0.2496963755507681	CD8 Exhausted
CREM	STAT5A	3	75.0	0.1949884412928387	CD8 Exhausted
CREM	TRAF4	3	75.0	0.1941252849882292	CD8 Exhausted
CREM	JUNB	3	75.0	0.1367214434349365	CD8 Exhausted
CREM	CCNH	4	100.0	0.1337440111103514	CD8 Exhausted
CREM	LCP1	4	100.0	0.1282134133300565	CD8 Exhausted
CREM	TSHZ2	3	75.0	0.1084242073772854	CD8 Exhausted
CREM	SRRT	3	75.0	0.0189628419353564	CD8 Exhausted
FOS	JUNB	4	100.0	4.460155205505633	CD8 Exhausted
FOS	NR4A2	4	100.0	3.663309271276229	CD8 Exhausted
FOS	JUN	4	100.0	2.939369194547056	CD8 Exhausted
FOS	IER2	4	100.0	2.437478787841923	CD8 Exhausted
FOS	PERP	4	100.0	2.060765972648352	CD8 Exhausted
FOS	DUSP1	4	100.0	1.8134895535301536	CD8 Exhausted
FOS	PPP1R15A	4	100.0	1.7968943595002964	CD8 Exhausted
FOS	GADD45B	4	100.0	1.5128647888162856	CD8 Exhausted
FOS	CDKN1A	4	100.0	1.476950003647594	CD8 Exhausted
FOS	FTL	4	100.0	1.4478760892936255	CD8 Exhausted
FOS	HMGA1	4	100.0	1.4166944520851776	CD8 Exhausted
FOS	ZEB2	3	75.0	1.3942496196329752	CD8 Exhausted
FOS	FABP5	3	75.0	1.2414505420007664	CD8 Exhausted
FOS	PEA15	4	100.0	1.15933101292482	CD8 Exhausted
FOS	CHMP1B	4	100.0	1.1291376036490388	CD8 Exhausted
FOS	FOS	4	100.0	1.0	CD8 Exhausted
FOS	ZFP36	4	100.0	0.988292570065697	CD8 Exhausted
FOS	HSP90AA1	4	100.0	0.9828261525680824	CD8 Exhausted
FOS	TUBA4A	4	100.0	0.9791925564355172	CD8 Exhausted
FOS	CD55	3	75.0	0.9559899280087092	CD8 Exhausted
FOS	CD74	4	100.0	0.9436270892485092	CD8 Exhausted
FOS	IRF2BP2	4	100.0	0.9136111343141332	CD8 Exhausted
FOS	AQP3	3	75.0	0.9078065272341737	CD8 Exhausted
