regulator	target	condition	weight
GGA2	ZDHHC12	differential	1
GGA2	ZMYM5	non-differential	1
ATP1B3	HSPA5	differential	1
ATP1B3	SPTAN1	differential	1
ATP1B3	JUND	differential	1
ATP1B3	CTSA	differential	1
HMGN2	LYST	differential	1
HMGN2	LSM4	differential	1
HMGN2	H2AFY	differential	1
JUN	REL	differential	1
JUN	TSHZ2	differential	1
JUN	IFT20	differential	1
JUN	SEPHS2	differential	1
JUN	AP1G2	differential	1
NR4A2	GIMAP4	differential	1
NR4A2	DDX27	differential	1
LTB	CORO1B	differential	1
LTB	GYG1	differential	1
LTB	SLC5A3	non-differential	1
LTB	MRPL4	differential	1
GZMA	SYTL3	differential	1
GZMA	ISG20	differential	1
GZMA	C18ORF8	differential	1
CD96	PRELID1	differential	1
CD96	MLLT3	differential	1
CD96	IL6ST	non-differential	1
SERPINB1	LAPTM4A	differential	1
SERPINB1	PPP1R18	differential	1
SESN3	H2AFZ	differential	1
SESN3	LITAF	differential	1
SESN3	TGIF1	differential	1
SESN3	LCP1	differential	1
SESN3	YPEL3	non-differential	1
SESN3	STX12	non-differential	1
SESN3	CCNT1	differential	1
CD69	KLF6	differential	1
CD69	ARHGAP25	non-differential	1
CD69	CAPN1	differential	1
CD69	SLBP	non-differential	1
ANXA1	ABLIM1	differential	1
HMGB2	GTF3C1	differential	1
HMGB2	ANAPC11	differential	1
CXCR3	CD5	differential	1
CXCR3	HMGB1	differential	1
CXCR3	NCDN	non-differential	1
CXCR3	SLC9A3R1	differential	1
CXCR3	CD48	non-differential	1
CXCR3	STOM	differential	1
RPS27	HMGB1	differential	1
RPS27	PDE4D	differential	1
RPS27	ZFP36L1	differential	1
RPS27	MARCH7	differential	1
RPS27	SUZ12	non-differential	1
PFKFB3	CTLA4	non-differential	1
PFKFB3	ZEB2	differential	1
PFKFB3	PRDX2	differential	1
PFKFB3	SMU1	differential	1
PIM2	PTGER4	differential	1
PIM2	TC2N	differential	1
PIM2	USE1	differential	1
PIM2	NUMA1	differential	1
RARRES3	SETD2	differential	1
RARRES3	GMFG	differential	1
RARRES3	ACOT9	differential	1
RARRES3	C17ORF49	differential	1
CST7	RAB11FIP1	differential	1
CST7	DBF4	differential	1
CST7	JARID2	differential	1
CST7	RHOT2	differential	1
TSPYL2	ABLIM1	differential	1
TSPYL2	TPM4	differential	1
TSPYL2	PBXIP1	differential	1
TSPYL2	SUN2	differential	1
TSPYL2	CD63	non-differential	1
TSPYL2	NFKB1	differential	1
TSPYL2	ATP6V1B2	differential	1
TSPYL2	FBXO21	differential	1
TSPYL2	FAM136A	differential	1
GABARAPL1	MALAT1	differential	1
GABARAPL1	TUBA4A	differential	1
GABARAPL1	DNMT1	differential	1
GABARAPL1	PHF5A	differential	1
HLA-DMA	SOCS1	differential	1
HLA-DMA	SMC4	non-differential	1
HLA-DMA	ITGAE	non-differential	1
HLA-DMA	IQGAP2	differential	1
HLA-DMA	SKIL	differential	1
HLA-DMA	GNL3	non-differential	1
HLA-DMA	TMX3	differential	1
HLA-DMA	PSTPIP1	differential	1
JUNB	NINJ1	non-differential	1
JUNB	CSRNP1	differential	1
JUNB	SRSF3	differential	1
JUNB	OAT	differential	1
JUNB	GNB5	differential	1
C12ORF75	GALNT2	differential	1
C12ORF75	TPM4	differential	1
C12ORF75	HSP90B1	non-differential	1
C12ORF75	SLC20A1	non-differential	1
C12ORF75	CYTH2	differential	1
C12ORF75	C11ORF31	differential	1
C12ORF75	HSPD1	non-differential	1
C12ORF75	ATP6AP1	differential	1
HSP90AA1	PTPRCAP	differential	1
HSP90AA1	CYFIP2	differential	1
HSP90AA1	ZNF106	non-differential	1
REL	STX12	non-differential	1
