TFs,Genes,Weights,Occurrence,occurrence_percentage
FOS,HERPUD1,0.8823881121774226,3,75.0
FOS,ZC3H12A,0.8025574594962412,4,100.0
FOS,CSRNP1,0.790057004987891,4,100.0
FOS,ITM2C,0.7555777091745193,4,100.0
FOS,VPS37B,0.7504942403944747,3,75.0
FOS,RAB11FIP1,0.7326758205747753,4,100.0
FOS,DNAJB1,0.7250479467981693,4,100.0
FOS,TPM4,0.7114106261768662,4,100.0
FOS,RGCC,0.6475096109254246,4,100.0
FOS,LIMS1,0.6434700432426292,4,100.0
FOS,MAP3K8,0.612676193580333,4,100.0
FOS,HSPA5,0.6072337755654394,3,75.0
FOS,LDLRAD4,0.5644064870099995,4,100.0
FOS,ARAP2,0.5633359452428999,4,100.0
FOS,KDM6B,0.5616931749704682,3,75.0
FOS,TSC22D3,0.557761331978517,4,100.0
FOS,GPR183,0.5514516750300122,4,100.0
FOS,ZNF331,0.5309808252373013,3,75.0
FOS,GSTP1,0.5292644068318602,4,100.0
FOS,NUCKS1,0.5288164187713954,3,75.0
FOS,LMBRD1,0.5053735764220934,3,75.0
FOS,ATF4,0.48738061329364274,3,75.0
FOS,ELL2,0.483903878000941,3,75.0
FOS,HSPH1,0.43946587857949665,3,75.0
FOS,TXNRD1,0.4390648433550872,3,75.0
FOS,PSAP,0.4281475968426354,4,100.0
FOS,SLC1A4,0.40924789607598216,3,75.0
FOS,FAM177A1,0.3901610400528261,4,100.0
FOS,CD63,0.38897093974107516,4,100.0
FOS,NFKBIZ,0.371967624037479,3,75.0
FOS,ANXA2,0.36021234743272484,4,100.0
FOS,ADGRE5,0.3466929811883333,4,100.0
FOS,AHNAK,0.34157113243779036,3,75.0
FOS,RBM3,0.3409518109735932,4,100.0
FOS,BHLHE40,0.3181303794793163,4,100.0
FOS,GPX1,0.2988095030153981,3,75.0
FOS,CHD2,0.2974125740015862,3,75.0
FOS,CYSTM1,0.2940884394882319,3,75.0
FOS,PIM3,0.280680552140079,3,75.0
FOS,CAPG,0.28018392855601576,4,100.0
FOS,CCNH,0.2773819062751727,4,100.0
FOS,ACTG1,0.26798008480856517,4,100.0
FOS,PLIN2,0.2507982751985482,4,100.0
FOS,ACTB,0.23072846674450745,3,75.0
FOS,YPEL5,0.21086809996200537,4,100.0
FOS,ATP1A1,0.20327185467736886,3,75.0
FOS,NINJ1,0.19477588056552841,3,75.0
FOS,PTP4A1,0.19377004163348835,3,75.0
FOS,DUSP2,0.19131617279535462,4,100.0
FOS,NFATC2,0.1760886187178935,4,100.0
FOS,JUND,0.14494764960896914,3,75.0
FOS,MGST3,0.1378821404418492,3,75.0
FOS,PDE4B,0.13738409646792846,3,75.0
FOS,IDH2,0.10740791198277617,3,75.0
FOS,TUBA1C,0.10261976687672214,3,75.0
FOS,TXN,0.09874317766109085,4,100.0
FOSL2,ARHGEF7,1.7572438394006342,4,100.0
FOSL2,ACP5,1.3542501792886237,3,75.0
FOSL2,JUND,1.3059519956120669,4,100.0
FOSL2,SATB1,1.2903064714126617,3,75.0
FOSL2,SLC16A3,1.1649198496996935,4,100.0
FOSL2,NFKBIZ,1.0817808055854974,3,75.0
FOSL2,GZMB,1.059490942994804,4,100.0
FOSL2,STAT3,1.0231368302579187,4,100.0
FOSL2,FOSL2,1.0,4,100.0
FOSL2,ZNF331,0.9020240798021514,3,75.0
FOSL2,GTF3A,0.845111125436838,3,75.0
FOSL2,RFTN1,0.8427063704970006,4,100.0
FOSL2,SEMA4D,0.8206026836955008,3,75.0
FOSL2,SMCHD1,0.7535743111539229,4,100.0
FOSL2,RGS2,0.7386731370527778,3,75.0
FOSL2,INSIG1,0.5955449859128175,4,100.0
FOSL2,TSHZ2,0.5947559833598444,3,75.0
FOSL2,RALA,0.5736561994684337,4,100.0
FOSL2,CMIP,0.5678115089457428,4,100.0
FOSL2,CREM,0.5403781655458322,4,100.0
FOSL2,SYTL3,0.5348816805620706,4,100.0
FOSL2,JOSD1,0.4955858116210422,4,100.0
FOSL2,ATP1B3,0.4758133792725584,4,100.0
FOSL2,RPS29,0.4662746923695015,4,100.0
FOSL2,SPTAN1,0.45923379612104154,4,100.0
FOSL2,LSM2,0.4439566111657524,3,75.0
FOSL2,DUSP2,0.4331029177252062,3,75.0
FOSL2,NR3C1,0.4214351819192419,3,75.0
FOSL2,SYAP1,0.4181104338818457,3,75.0
FOSL2,CD4,0.4107290643022967,3,75.0
FOSL2,FYN,0.4096139308448631,4,100.0
FOSL2,GATA3,0.3816069191389172,4,100.0
FOSL2,LMBRD1,0.37688336137976597,3,75.0
FOSL2,FOXP1,0.3518100370655061,4,100.0
FOSL2,EIF4A1,0.34149506396595214,4,100.0
FOSL2,STAT5B,0.3321462793526713,4,100.0
FOSL2,PDE4B,0.3243533061765616,4,100.0
FOSL2,ZFP36,0.29667636107366907,3,75.0
FOSL2,USP11,0.27456082058193726,3,75.0
FOSL2,FAM177A1,0.2599311524161058,4,100.0
FOSL2,DDIT4,0.2515546171454499,3,75.0
FOSL2,CYSTM1,0.23227647027684065,3,75.0
FOSL2,ZEB2,0.20612156497749798,3,75.0
FOSL2,CD7,0.1800133157358061,4,100.0
FOSL2,RPS27,0.1714776098058953,3,75.0
FOSL2,ZFP36L2,0.15598916675793928,4,100.0
FOSL2,CCND2,0.0749620180005813,4,100.0
FOXP1,HSP90AA1,1.156834536576165,3,75.0
FOXP1,NR3C1,1.120695722236441,3,75.0
FOXP1,MTRNR2L8,1.0764774375344466,4,100.0
FOXP1,ABLIM1,1.046921851819125,4,100.0
FOXP1,FOXP1,1.0,4,100.0
FOXP1,FYN,0.9960055586688259,4,100.0
FOXP1,JUNB,0.8970934578810396,3,75.0
FOXP1,PIK3IP1,0.7833536623016223,4,100.0
FOXP1,SATB1,0.7634780966052984,3,75.0
FOXP1,PTGER4,0.7383493065863341,3,75.0
FOXP1,LDLRAD4,0.7153877851074922,3,75.0
FOXP1,JUND,0.7130048378921069,3,75.0
FOXP1,ELL2,0.6619213311746776,3,75.0
FOXP1,GATA3,0.6604279047498952,3,75.0
FOXP1,PITPNC1,0.6252563611442721,4,100.0
FOXP1,RFTN1,0.5823545668862113,3,75.0
FOXP1,NR4A2,0.5027079927495922,3,75.0
FOXP1,ZFP36,0.4459228038183669,3,75.0
FOXP1,TXNIP,0.44087963655719603,3,75.0
FOXP1,PDE4B,0.435906755273711,3,75.0
FOXP1,CYSTM1,0.4109545955632119,4,100.0
FOXP1,PTP4A1,0.21311384422230675,3,75.0
FOXP1,BTG1,0.19864840913722837,3,75.0
FOXP1,SPOCK2,0.15685456776802423,3,75.0
FOXP1,NFKBIZ,0.15067027510544964,3,75.0
FOXP1,ZFP36L2,0.1483327250720929,3,75.0
FOXP1,S1PR1,0.14012588612692717,3,75.0
HMGA1,ANXA2,2.380185224687519,3,75.0
HMGA1,ACTG1,2.1214068734605487,3,75.0
HMGA1,ACTB,2.0309858478788985,3,75.0
HMGA1,FAM107B,1.5617827144762682,3,75.0
HMGA1,YWHAH,1.2614335068578,3,75.0
HMGA1,MYADM,1.162574468534797,3,75.0
HMGA1,PELI1,1.1171656240991605,3,75.0
HMGA1,PFN1,1.099661575272967,3,75.0
HMGA1,HMGA1,1.0,3,75.0
HMGA1,FAM177A1,0.9401411134005654,3,75.0
HMGA1,FOS,0.8375017711132746,3,75.0
HMGA1,HMGB1,0.45503882773551596,3,75.0
HMGB1,HMGN2,5.259874251047606,4,100.0
HMGB1,CDC25B,2.4017371851372387,4,100.0
HMGB1,ANP32B,2.3558534962802753,4,100.0
HMGB1,ACTB,1.9805560326565708,4,100.0
HMGB1,DUSP4,1.8113104356907137,3,75.0
HMGB1,YWHAH,1.7235814723214977,4,100.0
HMGB1,ACTG1,1.4789022986622309,3,75.0
HMGB1,RANBP1,1.4308219319091964,4,100.0
HMGB1,LMNB1,1.1128449247589853,4,100.0
HMGB1,HMGB1,1.0,4,100.0
HMGB1,HMGA1,0.7519512349417367,4,100.0
HMGB1,ZFP36L2,0.7336051152141727,3,75.0
HMGB1,NDRG1,0.1360472218313716,3,75.0
HMGB2,HMGN2,3.8678477091226284,4,100.0
HMGB2,HMGB1,3.4677168357683312,4,100.0
HMGB2,CDC25B,2.5311427812270626,4,100.0
HMGB2,RANBP1,2.1028693528281894,4,100.0
HMGB2,ANP32B,1.9516396293366136,4,100.0
HMGB2,PDE4D,1.6985906949947733,4,100.0
HMGB2,ACTB,1.6740824590113592,4,100.0
HMGB2,SPTAN1,1.2556411035934012,4,100.0
HMGB2,LMNB1,0.9049120472416572,4,100.0
HMGB2,ACTG1,0.8998288561396313,4,100.0
HMGB2,GATA3,0.8243546343214664,3,75.0
HMGB2,SOD2,0.6648444181274323,4,100.0
HMGB2,SATB1,0.5659037125843189,3,75.0
HMGB2,DOK2,0.5300349550384098,3,75.0
IRF7,GPR183,2.90368574791874,3,75.0
IRF7,JUND,2.1892920879508697,3,75.0
IRF7,LDLRAD4,2.0493980851367355,4,100.0
IRF7,BHLHE40,1.4971746353768352,4,100.0
IRF7,CHMP1B,1.4925998199076216,4,100.0
IRF7,PELI1,1.4764962983005747,3,75.0
IRF7,TGFB1,1.4592525271458816,3,75.0
IRF7,RAB11FIP1,1.4084803545336568,4,100.0
IRF7,PEA15,1.3326206227834985,3,75.0
IRF7,CD53,1.179390571947036,4,100.0
IRF7,RFTN1,1.108597686584714,3,75.0
IRF7,RTN4,1.0825487021176963,3,75.0
IRF7,FOSL2,1.0704138776782368,4,100.0
IRF7,ALOX5AP,1.0391982273063067,4,100.0
IRF7,TNFAIP8,1.0268385637651343,4,100.0
IRF7,IRF7,1.0,4,100.0
IRF7,CDKN1A,0.9249763339798124,3,75.0
IRF7,PDE4DIP,0.8978851568751196,3,75.0
IRF7,CAPG,0.8542304638385982,4,100.0
IRF7,GALNT2,0.8404860707780765,3,75.0
IRF7,LIMS1,0.8208468732318476,3,75.0
IRF7,JAML,0.7762229348315812,3,75.0
IRF7,FAM46C,0.7313979897974252,4,100.0
IRF7,CMIP,0.6637285286899984,3,75.0
IRF7,KDM6B,0.5746287835612409,4,100.0
IRF7,PPP1R16B,0.5319816465591626,4,100.0
IRF7,AKNA,0.527430908475687,3,75.0
IRF7,CTSB,0.47737685939033514,3,75.0
IRF7,NR3C1,0.2992462189103073,3,75.0
IRF7,UCP2,0.23705205119141862,3,75.0
IRF7,LYST,0.12976632363443064,3,75.0
JUN,BHLHE40,2.583307546763513,4,100.0
JUN,FOS,1.506753561022923,4,100.0
JUN,STAT3,1.1049249516067645,4,100.0
